Gene	LASSO_Coefficient
CSAD	-0.44001715237439
C19orf36	-0.300733357892391
ERBB2	-0.264680090749202
POU5F1	0.177067821906902
BPI	0.166316177620334
GDF15	-0.160067074058301
FFAR2	-0.156345215442176
ENPP1	-0.145011837070261
TMSB15A	0.136586315793296
PKP1	-0.134181045227281
UGT2B7	0.121862459920513
GAMT	-0.117479311599002
LCT	0.112338272439566
AGAP11	-0.111782060588459
FREM2	0.111706771677361
TNIP3	0.110649487778695
GPR110	0.106124339185415
VAX1	0.105004248170489
STOX2	0.102491385987469
L3MBTL4	-0.0958116044152272
MMP17	-0.0921380264250518
LOC84740	0.0852935730118449
DOC2A	-0.0847384979040024
LRRC17	-0.0830646610362567
TGM5	0.0812844910495815
SCEL	0.0808560520153452
SSPO	-0.078316614304403
FLJ46111	-0.0771843322385191
LOC157381	0.0770607879642942
INA	0.0693735892048159
TUBB3	0.0661030659386847
MGC2889	0.0625124127396922
ACBD7	0.0564336899305846
KCNF1	-0.0529667231233303
CORO6	-0.0512539165126965
JAKMIP3	-0.0497605293946641
FAM47E	-0.0473310533264769
TMEM178	-0.0462306271380839
MDGA2	0.0439478435794398
NUDT12	-0.0426956830041511
NCAN	0.0413779084234846
SLC15A2	0.0404423656145312
SPTBN4	-0.033244278625816
RNF182	-0.0304043689239908
MLXIPL	-0.0276378031649996
SEZ6L	-0.0242859565171757
TPRXL	0.0240219756381388
DSG1	0.0234249830941523
ONECUT2	0.0204530265114694
COL22A1	-0.0132440400827998
IL22RA2	0.0125366892017757
TMEM40	0.012402185049212
GBP5	0.00982252153594721
STX19	0.00766922743774486
VSNL1	0.00651969134463088
UCHL1	-0.0061368048537632
HAO1	0.00491569782806042
FOXG1	0.00304906706718377
TCAM1P	0.00273475584509583
ATP10B	0.00259800638231073
GPR77	-0.00250812178950543
