STRING_id	Degree	Betweenness	Closeness	Gene
9606.ENSP00000269305	554	188431.929462255	0.000194250194250194	TP53
9606.ENSP00000295897	482	182439.259351178	0.000193162062970833	ALB
9606.ENSP00000275493	460	150209.834758527	0.000191975427145325	EGFR
9606.ENSP00000398698	398	109835.090325611	0.000184842883548983	TNF
9606.ENSP00000378699	350	23966.0638399151	0.000174855744011191	CDK1
9606.ENSP00000405330	342	88569.3744133129	0.000185942729639271	ESR1
9606.ENSP00000274026	320	14768.2489585923	0.000171467764060357	CCNA2
9606.ENSP00000216911	318	20092.6300528632	0.000168463611859838	AURKA
9606.ENSP00000260731	316	20072.6038869138	0.000163238654913484	KIF11
9606.ENSP00000357643	306	22639.9506498757	0.000175039383861369	MKI67
9606.ENSP00000227507	302	35715.2507634832	0.000180570603105814	CCND1
9606.ENSP00000300093	302	12230.3695510552	0.000168236877523553	PLK1
9606.ENSP00000356379	300	21844.8030130362	0.000163773337700622	ASPM
9606.ENSP00000411532	300	11366.646220218	0.000167700821734027	TOP2A
9606.ENSP00000313950	294	6831.41339401351	0.000164257555847569	AURKB
9606.ENSP00000269571	292	42735.7248445829	0.000180995475113122	ERBB2
9606.ENSP00000302530	292	4157.20249955486	0.00016121231662099	BUB1
9606.ENSP00000353770	292	19297.1676772261	0.000163585800752495	RRM2
9606.ENSP00000261769	290	66495.5557920273	0.000180538003249684	CDH1
9606.ENSP00000358813	290	10164.2611280936	0.000159897665494084	TTK
